TableName,Country Code,max_inflation,year_of_max,years_over_100,years_over_500,years_over_1000
"Congo, Dem. Rep.",COD,23773.1317741016,1994,12,6,4
Bolivia,BOL,11749.6396321438,1985,5,2,2
Peru,PER,7481.66361124526,1990,7,3,2
Ukraine,UKR,4734.91434744585,1993,3,2,1
Angola,AGO,4145.10598220638,1996,11,4,3
Armenia,ARM,3373.75944336293,1994,2,1,1
Brazil,BRA,2947.732772483,1990,14,6,4
Belarus,BLR,2221.01656992039,1994,5,3,2
Kazakhstan,KAZ,1877.37239517572,1994,2,1,1
Azerbaijan,AZE,1662.21594875899,1994,3,2,2
Moldova,MDA,1613.60398876194,1993,3,2,2
Croatia,HRV,1500.0,1993,8,4,2
Slovenia,SVN,1281.44349404876,1989,6,2,1
Indonesia,IDN,1136.2541122077,1966,7,1,1
Bulgaria,BGR,1058.37355921973,1997,3,1,1
Lithuania,LTU,1020.62056524354,1992,2,1,1
Latvia,LVA,951.696194870801,1992,2,1,0
Russian Federation,RUS,874.245720380188,1993,3,1,0
Poland,POL,567.878800666191,1990,3,1,0
Zimbabwe,ZWE,557.201817362051,2020,3,1,0
Chile,CHL,504.738541215978,1974,4,1,0
Iraq,IRQ,448.499999999999,1994,4,0,0
South Sudan,SSD,379.999585624026,2016,2,0,0
Israel,ISR,373.215631362847,1984,6,0,0
Suriname,SUR,368.478068706267,1994,3,0,0
Sudan,SDN,359.093040778999,2021,8,0,0
Mongolia,MNG,268.150488882784,1993,1,0,0
Romania,ROU,255.166861826698,1993,5,0,0
"Venezuela, RB",VEN,254.948534781816,2016,2,0,0
Albania,ALB,226.005421253526,1992,1,0,0
Lebanon,LBN,221.341644023365,2023,3,0,0
Argentina,ARG,219.883929014578,2024,2,0,0
Zambia,ZMB,183.312041464393,1993,4,0,0
Georgia,GEO,162.717152150377,1995,1,0,0
Mexico,MEX,131.82738392309,1987,3,0,0
North Macedonia,MKD,126.583368336245,1994,1,0,0
Uruguay,URY,125.336991126492,1968,3,0,0
Lao PDR,LAO,125.27212839928,1999,1,0,0
Ghana,GHA,122.874514572592,1983,3,0,0
Türkiye,TUR,105.214986469202,1994,1,0,0
Ecuador,ECU,96.0963756926096,2000,0,0,0
Serbia,SRB,95.6009261208171,1996,0,0,0
Costa Rica,CRI,90.1213328504166,1982,0,0,0
Estonia,EST,89.8119490277275,1993,0,0,0
Iceland,ISL,83.9500461937034,1983,0,0,0
Malawi,MWI,83.3257747543458,1995,0,0,0
Guinea-Bissau,GNB,80.7881406436233,1989,0,0,0
Jamaica,JAM,77.2965929559651,1992,0,0,0
Nigeria,NGA,72.8355022972638,1995,0,0,0
Syrian Arab Republic,SYR,59.4843677088198,1987,0,0,0
Myanmar,MMR,57.0745112621703,2002,0,0,0
"Gambia, The",GMB,56.560172013504,1986,0,0,0
"Yemen, Rep.",YEM,55.0811068702292,1995,0,0,0
West Bank and Gaza,PSE,53.6691458303782,2024,0,0,0
Dominican Republic,DOM,51.4608598338065,2004,0,0,0
