Country Name,Country Code,Indicator Name,Indicator Code,Unnamed: 69,year,inflation_annual_%
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,3.72881355932203
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.94574935198645
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,0.299467254769695
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,7.78816199376883
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,11.5331525756195
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.35869565217392
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.43879470321092
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,5.81407628204986
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,0.790205817960074
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,0.827300930713946
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.53661234295201
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.25523012552923
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,-3.56219179976055
Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.67659912611285
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,0.332829047091752
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.74118084746923
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.17777108409632
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.74118084746923
Finland,FIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,3.41812725350792
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,4.13993575518437
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.00357570390172
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,1.47784758493376
Guatemala,GTM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1960,-1.19069315346
